,exp,toaster,chair,ficus,ship,materials,ball,mic,hotdog,teapot,lego,drums,car,coffee,helmet,mean
0,fresnel_nointim,18.36245501062415,30.345437496044692,28.443176396871856,25.77815082936859,25.62328537050006,21.700648438059623,30.032332027933084,33.33556729601972,42.60805321705142,30.161139506913432,24.03734786213434,25.31789667873522,31.14865535814818,24.823293334435654,27.979817058774294
1,fresnel_nobounce,24.619050591217604,30.7810516380854,27.977553396290233,26.13471122026348,28.969278663514423,34.27962779734254,31.328657694180123,32.7046966070576,44.36008680345792,30.7569412066572,24.412400691949514,28.734435426384024,30.75048856631483,29.236717087479768,30.36040695644248
2,fresnel,25.02708909712517,30.594447918016986,27.83987266392387,26.061940335414317,29.042328144444063,34.304865759743954,31.36943793605289,32.897303243364405,44.879518921085165,,24.091556556187637,28.962802822111236,30.762577811583984,29.055195173857356,30.376072029454694
3,lambda,26.880705219499998,32.188157575321085,29.026749052001634,27.09993792389384,31.058219349367537,35.661862697742116,32.306985427301946,34.65039955151483,44.07265081160511,32.72627630212348,24.907930945678373,29.93659875333362,31.423733838363923,34.42520539527966,31.88324377450193
4,fresnel_nonumer,21.565989354525772,30.492700800569146,27.83205638790462,25.404451536385505,28.697616324120627,22.745705792158134,31.19079189756535,33.553715971316386,43.5667884198919,30.22979041118088,24.146031664127467,27.720295801731687,31.083533839901474,28.613598188524325,29.060219027850234
