,exp,mean,materials,lego,mic,chair,teapot,ball,ficus,coffee,car,ship,hotdog,drums,toaster,helmet
0,fresnel_nointim,,,,,,,,,,,,,,,
1,fresnel_nobounce,,,,,,,,,,,,,,,
2,fresnel,,,,,,,,,,,,,,,
3,lambda,17.0366991867422,15.427134217191295,14.523152714968809,13.746358294059702,15.386413518143709,19.291503395646128,15.196184785018255,14.575757144353547,18.652460833359104,16.528137966065596,15.554816238218988,18.870928891128898,17.55521760204536,20.055379682923945,23.150343331267432
4,fresnel_nonumer,,,,,,,,,,,,,,,
